obj_id,source_path,dest_path,files,top_level_dirs
OBJ_0036,Stonebock/Datenbank/Objekt 36,objects/OBJ_0036,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0037,Stonebock/Datenbank/Objekt 37,objects/OBJ_0037,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0038,Stonebock/Datenbank/Objekt 38,objects/OBJ_0038,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0039,Stonebock/Datenbank/Objekt 39,objects/OBJ_0039,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0040,Stonebock/Datenbank/Objekt 40,objects/OBJ_0040,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0041,Stonebock/Datenbank/Objekt 41,objects/OBJ_0041,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0042,Stonebock/Datenbank/Objekt 42,objects/OBJ_0042,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0043,Stonebock/Datenbank/Objekt 43,objects/OBJ_0043,38,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, Übersicht"
OBJ_0044,Stonebock/Datenbank/Objekt 44,objects/OBJ_0044,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0045,Stonebock/Datenbank/Objekt 45,objects/OBJ_0045,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0046,Stonebock/Datenbank/Objekt 46,objects/OBJ_0046,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0047,Stonebock/Datenbank/Objekt 47,objects/OBJ_0047,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0048,Stonebock/Datenbank/Objekt 48,objects/OBJ_0048,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0049,Stonebock/Datenbank/Objekt 49,objects/OBJ_0049,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0050,Stonebock/Datenbank/Objekt 50,objects/OBJ_0050,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0051,Stonebock/Datenbank/Objekt 51,objects/OBJ_0051,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0052,Stonebock/Datenbank/Objekt 52,objects/OBJ_0052,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0053,Stonebock/Datenbank/Objekt 53,objects/OBJ_0053,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0054,Stonebock/Datenbank/Objekt 54,objects/OBJ_0054,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0055,Stonebock/Datenbank/Objekt 55,objects/OBJ_0055,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0056,Stonebock/Datenbank/Objekt 56,objects/OBJ_0056,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0057,Stonebock/Datenbank/Objekt 57,objects/OBJ_0057,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0058,Stonebock/Datenbank/Objekt 58,objects/OBJ_0058,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0059,Stonebock/Datenbank/Objekt 59,objects/OBJ_0059,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0060,Stonebock/Datenbank/Objekt 60,objects/OBJ_0060,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0061,Stonebock/Datenbank/Objekt 61,objects/OBJ_0061,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0062,Stonebock/Datenbank/Objekt 62,objects/OBJ_0062,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0063,Stonebock/Datenbank/Objekt 63,objects/OBJ_0063,20,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0064,Stonebock/Datenbank/Objekt 64,objects/OBJ_0064,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0065,Stonebock/Datenbank/Objekt 65,objects/OBJ_0065,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0066,Stonebock/Datenbank/Objekt 66,objects/OBJ_0066,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0067,Stonebock/Datenbank/Objekt 67,objects/OBJ_0067,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0068,Stonebock/Datenbank/Objekt 68,objects/OBJ_0068,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
